,Bond,Yield,24h Î”
0,Australia 10Y,1.722,<p class=red>-0.03 (-1.71%)</p>
1,Bulgaria 10Y,0.2,<p class=green>0.0 (0.0%)</p>
2,China 10Y,2.971,<p class=red>-0.01 (-0.34%)</p>
3,Hong Kong 10Y,1.381,<p class=green>0.0 (0.0%)</p>
4,Malaysia 10Y,3.704,<p class=green>0.0 (0.0%)</p>
5,New Zealand 10Y,2.14,<p class=green>0.01 (0.47%)</p>
6,Pakistan 10Y,10.831,<p class=green>0.0 (0.0%)</p>
7,Philippines 10Y,4.97,<p class=green>0.01 (0.2%)</p>
8,Qatar 10Y,2.246,<p class=red>-0.02 (-0.88%)</p>
9,Romania 10Y,4.785,<p class=green>0.0 (0.0%)</p>
10,Serbia 10Y,2.8,<p class=red>-0.08 (-2.78%)</p>
11,Singapore 10Y,1.737,<p class=red>-0.02 (-1.14%)</p>
12,South Korea 10Y,2.371,<p class=green>0.01 (0.42%)</p>
13,Taiwan 10Y,0.46,<p class=green>0.0 (0.0%)</p>
14,Vietnam 10Y,2.085,<p class=red>-0.0 (-0.0%)</p>
